rowid,mapURL
32,https://www.google.com/maps/search/?api=1&query=Kasai%20Japanese%20restaurant&query_place_id=ChIJ9cpT6kgvdTERlN0gZ_nEJs4
33,https://www.google.com/maps/search/?api=1&query=CH%C3%81O%20L%C3%92NG%20CH%E1%BB%8A%20L%E1%BB%A2I%2F%20CH%C3%81O%20L%C3%92NG%20QU%E1%BA%ACN%201&query_place_id=ChIJh1obWEcvdTERv8YpfbmD8Ok
34,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%20Red%20Pot&query_place_id=ChIJ02qrd0gvdTERkHkguaXbxgE
35,https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20t%E1%BA%A5m%20D%E1%BB%91c%20S%C6%B0%C6%A1ng%20M%C3%B9&query_place_id=ChIJn-ceLUYvdTERe5ulVtSfQNg
36,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20l%E1%BA%A9u%20g%C3%A0%20thi%C3%AAn%20nhi%C3%AAn%20Collagen&query_place_id=ChIJ1RsU_vwvdTERbbN6g4tebg0
37,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B9%B8&query_place_id=ChIJfyjZa1cvdTERumSw8llTOek
38,https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20cu%E1%BB%91n%20Thanh%20Tr%C3%AC%20H%C3%A0%20N%E1%BB%99i&query_place_id=ChIJ4ShRGAAvdTER4q473G8uc6U
39,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20Nh%E1%BA%ADt%20Hotto&query_place_id=ChIJhZrCdkgvdTERIxViRz5psNE
40,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ch%E1%BA%A3%20Nem%20Cua%20Bi%E1%BB%83n&query_place_id=ChIJ-TrDw5cvdTERx_DrpDDHn78
41,https://www.google.com/maps/search/?api=1&query=Gyu-Kaku%20Japanese%20BBQ&query_place_id=ChIJPyVITdsvdTERLIaU-ICqtyI
42,https://www.google.com/maps/search/?api=1&query=%E3%81%93%E6%96%99%E7%90%86%E5%B1%8B%20%E5%87%9B&query_place_id=ChIJuyrDzUgvdTERF3_4YXWyiq0
43,https://www.google.com/maps/search/?api=1&query=Bugis%20Singapore%20Vincom&query_place_id=ChIJlweTd0gvdTERA3qybXi1z40
44,https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20T%E1%BA%A5m%20Cali&query_place_id=ChIJh2T8zkcvdTERw6w1dvX-7Aw
45,https://www.google.com/maps/search/?api=1&query=KOHNAN&query_place_id=ChIJC5bRRjUvdTER_VrxRiH01Z8
46,https://www.google.com/maps/search/?api=1&query=CoCo%20Ichibanya%20Vietnam%20-%20L%C3%BD%20T%E1%BB%B1%20Tr%E1%BB%8Dng&query_place_id=ChIJVWIu_DQvdTERWkV1jpe5Jl8
47,https://www.google.com/maps/search/?api=1&query=Lobby%20Lounge&query_place_id=ChIJb45MOu0vdTER1pPIbOm7u4M
48,https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20tr%C3%A1ng%20tr%C3%A9%20tr%E1%BB%99n%20c%C3%B4%20D%C6%B0&query_place_id=ChIJ7VaFxdQvdTERVUkKVXiJnak
49,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20S%C3%B4ng%20H%C3%A0n&query_place_id=ChIJJWtxAUYvdTERn6UiKa3htMU
50,https://www.google.com/maps/search/?api=1&query=X%C3%B4i%20b%E1%BA%AFp%20B%C3%A0%20Gi%C3%A0%20(L%C3%AA%20Th%C3%A1nh%20T%C3%B4n)&query_place_id=ChIJoXerSjkvdTERz375z38l_w4
51,https://www.google.com/maps/search/?api=1&query=Izakaya%20kunoichi&query_place_id=ChIJ637iw0gvdTERbTuE9LVGh5Y
52,https://www.google.com/maps/search/?api=1&query=KANPAI%20Bistro%20-%20BlueDiamond%20F%26B&query_place_id=ChIJU6TzpSUvdTERSkPFEdbdlXo
53,https://www.google.com/maps/search/?api=1&query=Little%20Hong%20Kong&query_place_id=ChIJu1NCTD4vdTERmo8zI1HSJ68
54,https://www.google.com/maps/search/?api=1&query=Tokyo%20Shop%20(th%E1%BB%B1c%20ph%E1%BA%A9m%20Nh%E1%BA%ADt%20B%E1%BA%A3n)&query_place_id=ChIJs8-DLkkvdTER_buSdmfu0Zc
55,https://www.google.com/maps/search/?api=1&query=Golden%20Dynasty%20PEKING%20DUCK%20Vincom%20%C4%90%E1%BB%93ng%20Kh%E1%BB%9Fi&query_place_id=ChIJVU14jwcvdTER8zAExQCQ9zs
56,https://www.google.com/maps/search/?api=1&query=Vincom%20Center%20Dong%20Khoi&query_place_id=ChIJm5rCdkgvdTERQiGNZ2iXx9I
57,https://www.google.com/maps/search/?api=1&query=Thuc%20coffee&query_place_id=ChIJB9ihWl4vdTERNt03_b1L2s8
58,https://www.google.com/maps/search/?api=1&query=Chateraise%20Le%20Thanh%20Ton&query_place_id=ChIJq-_n2OgvdTERFFRxCyOmbgI
59,https://www.google.com/maps/search/?api=1&query=GS25%20Ph%E1%BA%A1m%20Ng%E1%BB%8Dc%20Th%E1%BA%A1ch&query_place_id=ChIJTTpmzhAvdTER059f66WQjRo
60,https://www.google.com/maps/search/?api=1&query=Di%E1%BB%85m%20S%C3%A0i%20G%C3%B2n&query_place_id=ChIJP2YWwXsvdTERURFsStPg8aA
61,https://www.google.com/maps/search/?api=1&query=Can%20Tin%2037&query_place_id=ChIJbZvUPQAvdTERIxbZBlXY-nU
62,https://www.google.com/maps/search/?api=1&query=House%20Of%20Merlin%20-%20Cocktail%20Bar%20%26%20Eatery&query_place_id=ChIJ9V88HjgvdTERCKoX_q5HOZ0
63,https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20v%C4%83n%20ph%C3%B2ng%20Min&query_place_id=ChIJd2V4KQUvdTER5FqIEe-q3wI
64,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20Nh%E1%BA%ADt%20gi%C3%A1%20r%E1%BA%BB%20Kinaru&query_place_id=ChIJHxSo5iQvdTERblmuAHfCKGs
65,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20Ch%E1%BA%A3%20c%C3%A1%2036&query_place_id=ChIJQfy1y0AvdTERHgauJe9ICZk
66,https://www.google.com/maps/search/?api=1&query=H%E1%BB%98I%20QU%C3%81N%20OPERA%20HOUSE&query_place_id=ChIJ756-W8kvdTERKelWvBGrTkg
67,https://www.google.com/maps/search/?api=1&query=Mutsumian%20Omakase%20%26%20Sukiyaki&query_place_id=ChIJublgJ1kvdTERDzKLzfSz6dk
68,https://www.google.com/maps/search/?api=1&query=Aromas%20Cafe%20Vincom%20Center&query_place_id=ChIJdyFQdkgvdTERIgKVB0-vud0
69,https://www.google.com/maps/search/?api=1&query=Singapore%20Frog%20Leg%20Resturant&query_place_id=ChIJLRCyaEYvdTERcYeKXRD5DrE
70,https://www.google.com/maps/search/?api=1&query=Jasmine%20Chilli%20Thai%20Cuisine&query_place_id=ChIJ3S4w0YsvdTER3w-9kgyhp9o
71,https://www.google.com/maps/search/?api=1&query=PH%E1%BB%9E%2018%20-%20HAI%20B%C3%80%20TR%C6%AFNG&query_place_id=ChIJW6BRanMvdTERguuWE0QtGMM
72,https://www.google.com/maps/search/?api=1&query=M%C3%A8o%20H%E1%BA%A1t%20D%E1%BA%BB%20-%201A%20C%C3%B4ng%20Tr%C6%B0%E1%BB%9Dng%20M%C3%AA%20Linh%2C%20Q1&query_place_id=ChIJaw3rqIMvdTERpvK76KuyR9U
73,https://www.google.com/maps/search/?api=1&query=Com%20Pho&query_place_id=ChIJ99rpcQAvdTERF11YIR-bqyk
